product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
B09QGZM8QB,Wayona Usb Type C 65W 6Ft/2M Long Fast Charging Cable Compatible For Samsung S22 S20 Fe S21 Ultra A33 A53 A01 A73 A70 A51 M33 M53 M51 M31,Computers&Accessories,399.0,999.0,60.0,4.3,2806
B08L4SBJRY,Saifsmart Outlet Wall Mount Hanger Holder for Dot 3rd Gen,Electronics,349.0,1.0,73.0,4.0,3295
B09X79PP8F,MI 2-in-1 USB Type C Cable,Computers&Accessories,179.0,299.0,40.0,3.9,81
B082T6GVG9,AmazonBasics New Release ABS USB-A to Lightning Cable Cord,Computers&Accessories,689.0,1.0,54.0,4.2,42301
B0B3XY5YT4,LG 108 cm,Electronics,30.0,49.0,38.0,4.3,1376
B0B4HKH19N,pTron Solero 331 3,Computers&Accessories,249.0,931.0,73.0,3.9,1075
B08TGG316Z,10k 8k 4k HDMI Cable,Electronics,999.0,2.0,58.0,4.6,3664
B071VMP1Z4,LRIPL Compatible Sony Bravia LCD/led Remote Works with Almost All Sony led/LCD tv's,Electronics,399.0,399.0,0.0,3.9,1951
B071SDRGWL,boAt Type-c A400 Type-c to USB A Cable for All Type C Phones,Computers&Accessories,349.0,699.0,50.0,4.3,20850
B08PSQRW2T,Zoul Type C to Type C Fast Charging Cable 65W 2M/6ft USB C Nylon Braided Cord Compatible with MacBook Oneplus 9 9R Samsung Galaxy S21 Ultra S20+,Computers&Accessories,399.0,1.0,64.0,4.1,2685
B0859M539M,TP-LINK AC1300 Archer T3U Plus High Gain USB 3,Computers&Accessories,1.0,2.0,43.0,4.4,24780
B08RX8G496,LRIPL Mi Remote Control with Netflix,Electronics,655.0,1.0,40.0,3.2,285
B002SZEOLG,TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop,Computers&Accessories,749.0,1.0,44.0,4.2,179692
B08CS3BT4L,Kodak 80 cm,Electronics,9.0,12.0,23.0,4.2,6088
B00RFWNJMC,Airtel DigitalTV DTH Remote SD/HD/HD Recording Compatible for Television,Electronics,195.0,499.0,61.0,3.7,1383
B082T6GXS5,AmazonBasics New Release Nylon USB-A to Lightning Cable Cord,Computers&Accessories,999.0,2.0,52.0,4.5,5492
B09CMQRQM6,Ambrane Fast 100W Output Cable with Type-C to Type-C for Mobile,Computers&Accessories,499.0,899.0,44.0,4.2,919
B005LJQMCK,BlueRigger Digital Optical Audio Toslink Cable,Electronics,416.0,599.0,31.0,4.2,30023
B09C6H53KH,Duracell Type-C To Micro 1,Computers&Accessories,368.0,699.0,47.0,4.2,387
B0BB3CBFBM,VU 138 cm,Electronics,29.0,65.0,54.0,4.1,211
B08QSDKFGQ,Zoul USB Type C Fast Charging 3A Nylon Braided Data Cable Quick Charger Cable QC 3,Computers&Accessories,339.0,1.0,69.0,4.3,974
B08PV1X771,Samsung 80 cm,Electronics,15.0,20.0,26.0,4.3,16299
B07YTNKVJQ,MI Xiaomi USB Type C HYperCharge Cable 6A 100cm Sturdy,Computers&Accessories,499.0,1.0,62.0,4.3,30411
B0117H7GZ6,GENERIC Ultra-Mini Bluetooth CSR 4,Computers&Accessories,249.0,399.0,38.0,3.4,4642
B09XJ1LM7R,7SEVEN® Compatible for Tata Sky Remote Original Set Top HD Box,Electronics,399.0,799.0,50.0,4.3,12
B084N133Y7,Belkin Apple Certified Lightning To Type C Cable,Computers&Accessories,1.0,1.0,25.0,4.4,1951
B088Z1YWBC,EGate i9 Pro-Max 1080p Native Full HD Projector 4k Support | 3600 L,Electronics,9.0,15.0,41.0,3.9,10480
B07VSG5SXZ,ZEBRONICS HAA2021 HDMI version 2,Electronics,637.0,1.0,58.0,4.1,24
B08RWCZ6SY,7SEVEN® Compatible for Sony Bravia LCD LED UHD OLED QLED 4K Ultra HD TV remote control with YouTube,Electronics,399.0,899.0,56.0,3.9,254
B07KSB1MLX,AmazonBasics Digital Optical Coax to Analog RCA Audio Converter Adapter with Fiber Cable,Electronics,1.0,1.0,32.0,4.0,3565
B081FG1QYX,Wayona Type C Cable Nylon Braided USB C QC 3,Computers&Accessories,339.0,999.0,66.0,4.3,6255
B08R69WBN7,Pinnaclz Original Combo of 2 USB Type C Fast Charging Cable,Computers&Accessories,149.0,499.0,70.0,4.0,7732
B0B3RHX6B6,Ambrane BCL-15 Lightning Cable for Smartphone,Computers&Accessories,149.0,399.0,63.0,3.9,57
B084N18QZY,Belkin USB C to USB-C Fast Charging Type C Cable,Computers&Accessories,599.0,849.0,29.0,4.5,577
B081NHWT6Z,LOHAYA Television Remote Compatible with Samsung Smart LED/LCD/HD TV Remote Control [ Compatible for All Samsung Tv Remote Control ],Electronics,299.0,1.0,75.0,3.9,1193
B07JPJJZ2H,Wayona Nylon Braided Lightning USB Data Sync,Computers&Accessories,399.0,1.0,69.0,4.2,13120
B09JKNF147,Electvision Remote Control Compatible with Kodak/Thomson Smart led tv,Electronics,339.0,1.0,83.0,4.0,343
B0B9959XF3,Acer 80 cm,Electronics,12.0,22.0,46.0,4.3,1611
B09PNR6F8Q,realme 10W Fast Charging Micro-USB Cable,Computers&Accessories,249.0,399.0,38.0,4.0,6558
B07M69276N,TP-Link AC1300 USB WiFi Adapter,Computers&Accessories,1.0,2.0,44.0,4.4,23169
B0B1YZ9CB8,Acer 139 cm,Electronics,32.0,47.0,31.0,4.3,4703
B09YLYB9PB,Ambrane 60W / 3A Fast Charging Output Cable with Micro to USB for Mobile,Computers&Accessories,149.0,399.0,63.0,4.0,1423
