id,discounted_price,actual_price,discount_percentage,rating,rating_count
383,1.0,9.0,80.0,4.3,27696
384,15.0,20.0,26.0,4.2,32916
385,19.0,24.0,20.0,3.9,25824
386,1.0,1.0,37.0,4.4,7462
387,399.0,699.0,43.0,4.0,37817
388,1.0,3.0,50.0,4.0,30254
389,1.0,7.0,75.0,3.8,17831
390,329.0,699.0,53.0,4.2,94364
391,154.0,399.0,61.0,4.2,16905
392,28.0,34.0,17.0,4.4,20311
393,2.0,7.0,71.0,4.2,69622
394,399.0,1.0,80.0,4.0,3382
395,1.0,3.0,71.0,4.3,140036
396,529.0,1.0,65.0,4.1,8599
397,13.0,19.0,28.0,4.1,18998
398,379.0,999.0,62.0,4.1,363713
399,13.0,19.0,30.0,4.1,19252
400,3.0,9.0,60.0,4.4,73
401,149.0,1.0,85.0,3.9,24870
402,99.0,499.0,80.0,4.3,42641
403,4.0,15.0,70.0,4.0,4390
404,33.0,33.0,0.0,4.3,17415
405,99.0,999.0,90.0,4.0,1396
406,299.0,1.0,84.0,3.6,18202
407,10.0,14.0,27.0,4.1,18998
408,34.0,38.0,10.0,4.2,11029
409,16.0,24.0,32.0,4.1,22318
410,199.0,499.0,60.0,4.1,1786
411,999.0,1.0,38.0,4.0,7222
412,1.0,1.0,19.0,4.0,128311
413,599.0,1.0,67.0,3.5,83996
414,599.0,1.0,68.0,4.3,140036
415,1.0,2.0,28.0,4.1,18678
416,176.63,499.0,65.0,4.1,15189
417,10.0,14.0,27.0,4.1,18998
418,2.0,7.0,62.0,4.1,48449
419,1.0,7.0,75.0,3.8,17831
420,229.0,299.0,23.0,4.3,30411
421,199.0,299.0,33.0,4.0,43994
422,649.0,999.0,35.0,4.2,1315
423,13.0,19.0,28.0,4.1,18998
424,119.0,299.0,60.0,4.1,5999
425,12.0,17.0,28.0,4.1,50772
426,154.0,339.0,55.0,4.3,13391
427,20.0,26.0,22.0,3.9,25824
428,249.0,649.0,62.0,4.0,14404
429,99.0,171.0,42.0,4.5,11339
430,489.0,1.0,76.0,4.0,3626
431,369.0,1.0,77.0,4.0,32625
432,15.0,20.0,26.0,4.1,19252
433,15.0,18.0,18.0,4.1,19252
434,22.0,28.0,21.0,3.9,25824
435,599.0,1.0,60.0,4.1,161679
436,134.0,699.0,81.0,4.1,16685
437,7.0,7.0,6.0,4.0,30907
438,1.0,2.0,48.0,4.3,178912
439,1.0,1.0,22.0,4.0,128311
440,13.0,19.0,30.0,4.1,19252
441,299.0,799.0,63.0,4.2,94364
442,999.0,1.0,38.0,4.0,7222
443,12.0,17.0,28.0,4.1,18998
444,15.0,20.0,26.0,4.2,32916
445,999.0,2.0,66.0,4.6,26603
446,1.0,4.0,68.0,4.0,67950
447,1.0,1.0,22.0,4.0,128311
448,20.0,29.0,30.0,4.3,9499
449,999.0,1.0,50.0,4.3,1777
450,12.0,15.0,22.0,4.2,58506
451,17.0,21.0,18.0,4.0,21350
452,350.0,899.0,61.0,4.2,2263
453,1.0,1.0,14.0,4.0,9378
454,159.0,399.0,60.0,4.1,4768
455,1.0,6.0,79.0,3.9,21796
456,1.0,7.0,75.0,3.8,17833
457,999.0,2.0,66.0,4.7,7779
458,2.0,5.0,65.0,4.3,17129
459,337.0,699.0,52.0,4.2,4969
460,2.0,7.0,62.0,4.1,154
461,1.0,5.0,78.0,3.3,4415
462,349.0,399.0,13.0,4.4,18757
463,16.0,20.0,21.0,4.0,21350
464,499.0,499.0,0.0,4.2,31539
465,970.0,1.0,46.0,4.5,815
466,999.0,2.0,66.0,4.6,6129
467,10.0,13.0,22.0,4.2,284
468,249.0,399.0,38.0,4.0,43994
469,251.0,999.0,75.0,3.7,3234
470,199.0,499.0,60.0,4.1,13045
471,6.0,7.0,19.0,4.1,313832
472,2.0,9.0,70.0,4.2,20879
473,279.0,1.0,81.0,4.2,2646
474,269.0,1.0,82.0,4.5,28978
475,8.0,13.0,33.0,3.8,3145
476,59.0,199.0,70.0,4.0,9377
477,599.0,1.0,54.0,4.1,192589
478,349.0,999.0,65.0,3.8,16557
479,13.0,19.0,28.0,4.1,18998
480,349.0,999.0,65.0,3.8,16557
481,499.0,599.0,17.0,4.2,21916
482,2.0,9.0,78.0,4.2,29472
483,95.0,499.0,81.0,4.2,1949
484,139.0,249.0,44.0,4.0,9377
485,4.0,7.0,44.0,3.5,37
486,89.0,599.0,85.0,4.3,2351
487,15.0,20.0,26.0,4.1,19253
488,13.0,15.0,13.0,3.9,2180
489,1.0,4.0,60.0,3.9,7571
490,1.0,5.0,77.0,3.3,4415
491,599.0,999.0,40.0,4.0,18654
492,199.0,1.0,82.0,4.0,3197
493,1.0,6.0,74.0,4.0,26880
494,1.0,6.0,79.0,3.9,21796
495,20.0,29.0,30.0,4.3,9499
496,12.0,13.0,4.0,4.1,56098
497,16.0,20.0,19.0,4.1,31822
498,19.0,27.0,29.0,4.3,9499
499,12.0,18.0,32.0,4.1,50772
500,2.0,5.0,50.0,4.1,7148
501,299.0,999.0,70.0,4.3,20850
502,970.0,1.0,51.0,4.4,184
503,329.0,999.0,67.0,4.2,3492
504,1.0,5.0,78.0,3.3,4415
505,1.0,3.0,43.0,4.4,67260
506,1.0,9.0,80.0,4.3,27704
507,12.0,18.0,32.0,4.1,50772
508,1.0,4.0,70.0,4.0,92588
509,16.0,20.0,19.0,4.1,31822
510,1.0,8.0,76.0,4.3,240
511,4.0,6.0,29.0,3.8,758
512,99.0,666.66,85.0,3.9,24870
513,2.0,5.0,58.0,3.7,828
514,1.0,1.0,14.0,4.0,9378
515,1.0,9.0,85.0,4.2,22638
516,899.0,1.0,53.0,4.4,13552
517,249.0,599.0,58.0,3.9,2147
518,299.0,1.0,75.0,4.5,596
519,79.0,499.0,84.0,4.2,1949
520,13.0,15.0,13.0,3.9,2180
521,949.0,999.0,5.0,4.2,31539
522,99.0,499.0,80.0,4.1,2451
523,2.0,7.0,69.0,4.1,154
524,689.0,1.0,66.0,4.3,1193
525,499.0,1.0,74.0,4.1,1475
526,299.0,999.0,70.0,4.3,8891
527,209.0,499.0,58.0,3.6,104
528,8.0,12.0,35.0,4.1,6662
529,2.0,3.0,46.0,4.0,8380
530,16.0,20.0,19.0,4.1,31822
531,44.0,49.0,10.0,4.3,3075
532,2.0,2.0,13.0,3.9,14266
533,2.0,6.0,57.0,4.1,38879
534,1.0,2.0,53.0,4.1,97175
535,649.0,2.0,73.0,4.4,67260
536,799.0,3.0,80.0,3.8,119
537,149.0,149.0,0.0,4.3,10833
538,799.0,2.0,62.0,4.3,8188
539,3.0,5.0,28.0,3.5,1641
540,199.0,1.0,90.0,4.0,4740
541,23.0,32.0,27.0,3.9,8866
542,29.0,39.0,25.0,4.3,8399
543,281.0,1.0,86.0,2.8,87
544,7.0,11.0,33.0,3.8,125
545,249.0,999.0,75.0,4.5,38
546,299.0,599.0,50.0,4.3,4674
547,499.0,1.0,74.0,4.1,412
548,899.0,3.0,74.0,3.0,681
549,1.0,3.0,54.0,4.0,36384
550,120.0,999.0,88.0,3.9,6491
551,3.0,6.0,43.0,4.1,10229
552,12.0,18.0,32.0,4.1,50772
553,1.0,2.0,38.0,4.3,1801
554,699.0,1.0,42.0,4.0,14404
555,99.0,999.0,90.0,4.4,305
556,7.0,9.0,21.0,4.3,1376
557,1.0,7.0,81.0,4.2,22638
558,1.0,1.0,16.0,3.8,2352
559,150.0,599.0,75.0,4.3,714
560,219.0,700.0,69.0,4.3,20052
561,474.0,1.0,74.0,4.3,1454
562,115.0,499.0,77.0,4.0,7732
